Cuno,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,Total
02702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139507.2,1969.53,106976.8,64064,56368,72897.69,2246.4,250460,273373.6,243569.6,239172,163328.8,151404,88960,81440,31664,13592,13928,30184,167084,167031.2,137737.6,119509.6,2616468.02
002705,89697.6,46636.6,-7432,45508,7944,3968,4204,12700,61140,67682.6,34420,41950.4,6210,0,0,0,0,0,0,0,0,0,0,0,0,0,1135,0,0,0,0,0,0,0,0,0,0,415764.2
002737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4400
002741,0,0,0,0,0,0,0,0,0,0,0,1650,7068,7114,8515,2909.75,1100,300,5420,4342.5,1714.5,0,5280,0,675,6848,1435.5,6985,14087.51,3928,0,2000,2124,2507,12612.25,11019.5,0,109635.51
0002779,0,0,0,0,5010,2250,4255.25,8384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1950,0,0,0,0,0,0,0,0,0,0,0,0,6580,0,28429.25
02805,0,0,0,0,0,0,0,0,0,4550,4070,0,0,0,0,0,0,0,0,0,0,8050,3450,0,0,0,0,0,0,0,0,0,0,7690,3300,0,0,31110
0002829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002968,0,0,0,0,0,0,0,0,0,0,0,0,1860,0,0,0,0,0,0,0,877.5,0,0,930,0,0,0,0,0,0,0,0,0,1116,-50,1240,0,5973.5
003141,0,0,0,0,0,0,0,418.2,0,6085,0,0,0,0,2185,0,211.25,0,706.5,462.6,0,1157,0,0,945,0,0,0,2325,0,0,0,0,7900,7098,0,0,29493.55
03210,325,0,0,270,1656,0,7863.97,15718.97,0,0,0,0,0,3866,4080,0,0,1500,4440,7756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47475.94
0003219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6102
03333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,1100,2200
0003349,0,0,0,4126.5,832.5,4104,0,4531.5,0,0,2641.5,3406.5,4905,0,2659.5,0,8856,8028,0,1914,2920,1215,1135,0,0,4450.5,2727,2713.5,0,2713.5,1012.5,2574,2587.5,1053,4369.5,1800,0,77276
003384,0,0,0,0,0,0,0,1610,3000,6000,8358,0,0,0,1813.5,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418.5,0,0,0,22200
003402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
003408,0,0,0,0,0,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339
003451,0,0,0,0,0,0,0,0,0,0,0,0,0,378,0,0,2080,1872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4330
003506,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
003550,0,0,0,0,0,0,0,0,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,350,0,0,0,0,0,0,1110
003554,0,0,6245.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1604.38,7849.48
003578,265,790,0,0,0,0,0,0,830,0,775,4560,1460,5045,2245,674.38,7601,0,0,7393,0,0,295,0,0,0,0,0,0,493.75,0,0,0,0,745,-990,605,32787.13
003585,5522.5,3927.5,8898.5,10457.5,7955,7077.5,877.5,877.5,1755,1755,0,0,14305,42125,7350,11645,7350,7350,6955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146183.5
003594,0,0,0,0,0,0,0,0,0,0,0,-155,0,0,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320
003617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.75,0,2817,0,0,0,0,0,0,0,3047.75
003631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0003639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,325,0,0,0,0,0,0,0,0,0,352.75,9420,0,0,0,0,0,2120,0,0,0,12465.75
003728,0,0,0,0,0,0,0,0,882,0,0,0,0,0,4563,22590,3704.13,0,2844.06,2059.38,300,0,0,859.5,0,0,0,0,0,0,0,0,0,0,0,0,0,37802.07
003733,0,1295,0,1295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2590
003734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.5,0,0,0,191.75,0,0,0,0,0,0,0,1336.5,0,0,0,0,0,0,0,0,0,2015.75
003751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-612.5,0,0,1225,0,0,0,612.5
003753,0,0,0,0,0,0,0,0,0,0,0,0,-8491.5,2830.5,2830.5,2830.5,2830.5,2830.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5661
003775,0,0,0,0,0,0,0,0,6800,0,0,0,0,0,0,0,8061,5700,5700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26261
03820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
003839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15144,15144
003856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3800
